Accession	Id	Description
PF03929	PepSY_TM	PepSY-associated TM region
PF03936	Terpene_synth_C	Terpene synthase family, metal binding domain
PF03949	Malic_M	Malic enzyme, NAD binding domain
PF03951	Gln-synt_N	Glutamine synthetase, beta-Grasp domain
PF03952	Enolase_N	Enolase, N-terminal domain
PF03959	FSH1	Serine hydrolase (FSH1)
PF03960	ArsC	ArsC family
PF03967	PRCH	Photosynthetic reaction centre, H-chain N-terminal region
PF03969	AFG1_ATPase	AFG1-like ATPase
PF03971	IDH	Monomeric isocitrate dehydrogenase
PF03972	MmgE_PrpD	MmgE/PrpD N-terminal domain
PF03975	CheD	CheD chemotactic sensory transduction
PF03977	OAD_beta	Na+-transporting oxaloacetate decarboxylase beta subunit
PF03982	DAGAT	Diacylglycerol acyltransferase
PF03992	ABM	Antibiotic biosynthesis monooxygenase
PF03996	Hema_esterase	Hemagglutinin esterase
PF04012	PspA_IM30	PspA/IM30 family
PF04013	Methyltrn_RNA_2	Putative SAM-dependent RNA methyltransferase
PF04016	DUF364	Putative heavy-metal chelation
PF04020	Phage_holin_4_2	Mycobacterial 4 TMS phage holin, superfamily IV
PF04029	2-ph_phosp	2-phosphosulpholactate phosphatase
PF04030	ALO	D-arabinono-1,4-lactone oxidase
PF04043	PMEI	Plant invertase/pectin methylesterase inhibitor
PF04055	Radical_SAM	Radical SAM superfamily
PF04072	LCM	Leucine carboxyl methyltransferase
PF04075	F420H2_quin_red	F420H(2)-dependent quinone reductase
PF04083	Abhydro_lipase	Partial alpha/beta-hydrolase lipase region
PF04095	NAPRTase	Nicotinate phosphoribosyltransferase (NAPRTase) family
PF04101	Glyco_tran_28_C	Glycosyltransferase family 28 C-terminal domain
PF04102	SlyX	SlyX
PF04104	DNA_primase_lrg	Eukaryotic and archaeal DNA primase, large subunit
PF04107	GCS2	Glutamate-cysteine ligase family 2(GCS2)
PF04115	Ureidogly_lyase	Ureidoglycolate lyase
PF04116	FA_hydroxylase	Fatty acid hydroxylase superfamily
PF04127	DFP	DNA / pantothenate metabolism flavoprotein
PF04131	NanE	Putative N-acetylmannosamine-6-phosphate epimerase
PF04137	ERO1	Endoplasmic Reticulum Oxidoreductin 1 (ERO1)
PF04138	GtrA	GtrA-like protein
PF04140	ICMT	Isoprenylcysteine carboxyl methyltransferase (ICMT) family
PF04166	PdxA	Pyridoxal phosphate biosynthetic protein PdxA
PF04182	B-block_TFIIIC	B-block binding subunit of TFIIIC
PF04183	IucA_IucC	IucA / IucC family
PF04185	Phosphoesterase	Phosphoesterase family
PF04188	Mannosyl_trans2	Mannosyltransferase (PIG-V)
PF04191	PEMT	Phospholipid methyltransferase
PF04193	PQ-loop	PQ loop repeat
PF04198	Sugar-bind	Putative sugar-binding domain
PF04199	Cyclase	Putative cyclase
PF04204	HTS	Homoserine O-succinyltransferase
PF04206	MtrE	Tetrahydromethanopterin S-methyltransferase, subunit E
PF04207	MtrD	Tetrahydromethanopterin S-methyltransferase, subunit D
PF04208	MtrA	Tetrahydromethanopterin S-methyltransferase, subunit A
PF04209	HgmA	homogentisate 1,2-dioxygenase
PF04210	MtrG	Tetrahydromethanopterin S-methyltransferase, subunit G
PF04211	MtrC	Tetrahydromethanopterin S-methyltransferase, subunit C
PF04216	FdhE	Protein involved in formate dehydrogenase formation
PF04223	CitF	Citrate lyase, alpha subunit (CitF)
PF04226	Transgly_assoc	Transglycosylase associated protein
PF04227	Indigoidine_A	Indigoidine synthase A like protein
PF04230	PS_pyruv_trans	Polysaccharide pyruvyl transferase
PF04231	Endonuclease_1	Endonuclease I
PF04234	CopC	CopC domain
PF04237	YjbR	YjbR
PF04240	Caroten_synth	Carotenoid biosynthesis protein
PF04258	Peptidase_A22B	Signal peptide peptidase
PF04261	Dyp_perox	Dyp-type peroxidase family
PF04262	Glu_cys_ligase	Glutamate-cysteine ligase
PF04263	TPK_catalytic	Thiamin pyrophosphokinase, catalytic domain
PF04264	YceI	YceI-like domain
PF04265	TPK_B1_binding	Thiamin pyrophosphokinase, vitamin B1 binding domain
PF04267	SoxD	Sarcosine oxidase, delta subunit family
PF04273	DUF442	Putative phosphatase (DUF442)
PF04275	P-mevalo_kinase	Phosphomevalonate kinase
PF04277	OAD_gamma	Oxaloacetate decarboxylase, gamma chain
PF04294	VanW	VanW like protein
PF04295	GD_AH_C	D-galactarate dehydratase / Altronate hydrolase, C terminus
PF04299	FMN_bind_2	Putative FMN-binding domain
PF04307	YdjM	LexA-binding, inner membrane-associated putative hydrolase
PF04320	YggL_50S_bp	YggL 50S ribosome-binding protein
PF04324	Fer2_BFD	BFD-like [2Fe-2S] binding domain
PF04326	AlbA_2	Putative DNA-binding domain
PF04328	Sel_put	Selenoprotein, putative
PF04336	ACP_PD	Acyl carrier protein phosphodiesterase
PF04345	Chor_lyase	Chorismate lyase
PF04352	ProQ	ProQ/FINO family
PF04357	TamB	TamB, inner membrane protein subunit of TAM complex
PF04371	PAD_porph	Porphyromonas-type peptidyl-arginine deiminase
PF04376	ATE_N	Arginine-tRNA-protein transferase, N terminus
PF04377	ATE_C	Arginine-tRNA-protein transferase, C terminus
PF04378	RsmJ	Ribosomal RNA large subunit methyltransferase D, RlmJ
PF04413	Glycos_transf_N	3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)
PF04414	tRNA_deacylase	D-aminoacyl-tRNA deacylase
PF04422	FrhB_FdhB_N	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term
PF04428	Choline_kin_N	Choline kinase N terminus
PF04431	Pec_lyase_N	Pectate lyase, N terminus
PF04432	FrhB_FdhB_C	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus
PF04434	SWIM	SWIM zinc finger
PF04443	LuxE	Acyl-protein synthetase, LuxE
PF04444	Dioxygenase_N	Catechol dioxygenase N terminus
PF04446	Thg1	tRNAHis guanylyltransferase
PF04454	Linocin_M18	Encapsulating protein for peroxidase
PF04464	Glyphos_transf	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase
PF04486	SchA_CurD	SchA/CurD like domain
PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif
PF04509	CheC	CheC-like family
PF04548	AIG1	AIG1 family
PF04551	GcpE	GcpE protein
PF04573	SPC22	Signal peptidase subunit
PF04587	ADP_PFK_GK	ADP-specific Phosphofructokinase/Glucokinase conserved region
PF04597	Ribophorin_I	Ribophorin I
PF04604	L_biotic_typeA	Type-A lantibiotic
PF04606	Ogr_Delta	Ogr/Delta-like zinc finger
PF04607	RelA_SpoT	Region found in RelA / SpoT proteins
PF04608	PgpA	Phosphatidylglycerophosphatase A
PF04610	TrbL	TrbL/VirB6 plasmid conjugal transfer protein
PF04613	LpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD
PF04616	Glyco_hydro_43	Glycosyl hydrolases family 43
PF04655	APH_6_hur	Aminoglycoside/hydroxyurea antibiotic resistance kinase
PF04657	DMT_YdcZ	Putative inner membrane exporter, YdcZ
PF04666	Glyco_transf_54	N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region
PF04672	Methyltransf_19	S-adenosyl methyltransferase
PF04673	Cyclase_polyket	Polyketide synthesis cyclase
PF04685	DUF608	Glycosyl-hydrolase family 116, catalytic region
PF04705	TSNR_N	Thiostrepton-resistance methylase, N terminus
PF04715	Anth_synt_I_N	Anthranilate synthase component I, N terminal region
PF04716	ETC_C1_NDUFA5	ETC complex I subunit conserved region
PF04722	Ssu72	Ssu72-like protein
PF04723	GRDA	Glycine reductase complex selenoprotein A
PF04724	Glyco_transf_17	Glycosyltransferase family 17
PF04733	Coatomer_E	Coatomer epsilon subunit
PF04734	Ceramidase_alk	Neutral/alkaline non-lysosomal ceramidase, N-terminal
PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus
PF04768	NAT	NAT, N-acetyltransferase, of N-acetylglutamate synthase
PF04777	Evr1_Alr	Erv1 / Alr family
PF04794	YdjC	YdjC-like protein
PF04800	ETC_C1_NDUFA4	ETC complex I subunit conserved region
PF04805	Pox_E10	E10-like protein conserved region
PF04816	TrmK	tRNA (adenine(22)-N(1))-methyltransferase
PF04820	Trp_halogenase	Tryptophan halogenase
PF04827	Plant_tran	Plant transposon protein
PF04828	GFA	Glutathione-dependent formaldehyde-activating enzyme
PF04843	Herpes_teg_N	Herpesvirus tegument protein, N-terminal conserved region
PF04848	Pox_A22	Poxvirus A22 protein
PF04851	ResIII	Type III restriction enzyme, res subunit
PF04863	EGF_alliinase	Alliinase EGF-like domain
PF04864	Alliinase_C	Allinase
PF04868	PDE6_gamma	Retinal cGMP phosphodiesterase, gamma subunit
PF04879	Molybdop_Fe4S4	Molybdopterin oxidoreductase Fe4S4 domain
PF04885	Stig1	Stigma-specific protein, Stig1
PF04892	VanZ	VanZ like family
PF04898	Glu_syn_central	Glutamate synthase central domain
PF04900	Fcf1	Fcf1
PF04909	Amidohydro_2	Amidohydrolase
PF04914	DltD	DltD protein
PF04922	DIE2_ALG10	DIE2/ALG10 family
PF04926	PAP_RNA-bind	Poly(A) polymerase predicted RNA binding domain
PF04928	PAP_central	Poly(A) polymerase central domain
PF04932	Wzy_C	O-Antigen ligase
PF04945	YHS	YHS domain
PF04952	AstE_AspA	Succinylglutamate desuccinylase / Aspartoacylase family
PF04954	SIP	Siderophore-interacting protein
PF04954	SIP	Siderophore-interacting protein
PF04956	TrbC	TrbC/VIRB2 pilin
PF04958	AstA	Arginine N-succinyltransferase beta subunit
PF04960	Glutaminase	Glutaminase
PF04961	FTCD_C	Formiminotransferase-cyclodeaminase
PF04962	KduI	KduI/IolB family
PF04971	Phage_holin_2_1	Bacteriophage P21 holin S
PF04972	BON	BON domain
PF04977	DivIC	Septum formation initiator
PF04987	PigN	Phosphatidylinositolglycan class N (PIG-N)
PF04989	CmcI	Cephalosporin hydroxylase
PF04991	LicD	LicD family
PF04993	TfoX_N	TfoX N-terminal domain
PF04996	AstB	Succinylarginine dihydrolase
PF05007	Mannosyl_trans	Mannosyltransferase (PIG-M)
PF05011	DBR1	Lariat debranching enzyme, C-terminal domain
PF05014	Nuc_deoxyrib_tr	Nucleoside 2-deoxyribosyltransferase
PF05019	Coq4	Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF05023	Phytochelatin	Phytochelatin synthase
PF05024	Gpi1	N-acetylglucosaminyl transferase component (Gpi1)
PF05026	DCP2	Dcp2, box A domain
PF05028	PARG_cat	Poly (ADP-ribose) glycohydrolase (PARG)
PF05033	Pre-SET	Pre-SET motif
PF05034	MAAL_N	Methylaspartate ammonia-lyase N-terminus
PF05035	DGOK	2-keto-3-deoxy-galactonokinase
PF05045	RgpF	Rhamnan synthesis protein F
PF05047	L51_S25_CI-B8	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
PF05057	DUF676	Putative serine esterase (DUF676)
PF05060	MGAT2	N-acetylglucosaminyltransferase II (MGAT2)
PF05063	MT-A70	MT-A70
PF05067	Mn_catalase	Manganese containing catalase
PF05088	Bac_GDH	Bacterial NAD-glutamate dehydrogenase
PF05090	VKG_Carbox	Vitamin K-dependent gamma-carboxylase
PF05096	Glu_cyclase_2	Glutamine cyclotransferase
PF05102	Holin_BlyA	holin, BlyA family
PF05103	DivIVA	DivIVA protein
PF05116	S6PP	Sucrose-6F-phosphate phosphohydrolase
PF05118	Asp_Arg_Hydrox	Aspartyl/Asparaginyl beta-hydroxylase
PF05138	PaaA_PaaC	Phenylacetic acid catabolic protein
PF05139	Erythro_esteras	Erythromycin esterase
PF05140	ResB	ResB-like family
PF05141	DIT1_PvcA	Pyoverdine/dityrosine biosynthesis protein
PF05147	LANC_like	Lanthionine synthetase C-like protein
PF05148	Methyltransf_8	Hypothetical methyltransferase
PF05153	MIOX	Myo-inositol oxygenase
PF05159	Capsule_synth	Capsule polysaccharide biosynthesis protein
PF05163	DinB	DinB family
PF05165	GCH_III	GTP cyclohydrolase III
PF05173	DapB_C	Dihydrodipicolinate reductase, C-terminus
PF05175	MTS	Methyltransferase small domain
PF05185	PRMT5	PRMT5 arginine-N-methyltransferase
PF05187	ETF_QO	Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S
PF05188	MutS_II	MutS domain II
PF05190	MutS_IV	MutS family domain IV
PF05191	ADK_lid	Adenylate kinase, active site lid
PF05192	MutS_III	MutS domain III
PF05194	UreE_C	UreE urease accessory protein, C-terminal domain
PF05195	AMP_N	Aminopeptidase P, N-terminal domain
PF05199	GMC_oxred_C	GMC oxidoreductase
PF05206	TRM13	Methyltransferase TRM13
PF05208	ALG3	ALG3 protein
PF05221	AdoHcyase	S-adenosyl-L-homocysteine hydrolase
PF05222	AlaDh_PNT_N	Alanine dehydrogenase/PNT, N-terminal domain
PF05240	APOBEC_C	APOBEC-like C-terminal domain
PF05241	EBP	EXPERA (EXPanded EBP superfamily)
PF05257	CHAP	CHAP domain
PF05262	Borrelia_P83	Borrelia P83/100 protein
PF05270	AbfB	Alpha-L-arabinofuranosidase B (ABFB) domain
PF05277	DUF726	Protein of unknown function (DUF726)
PF05289	BLYB	Borrelia hemolysin accessory protein
PF05292	MCD	Malonyl-CoA decarboxylase C-terminal domain
PF05301	Acetyltransf_16	GNAT acetyltransferase, Mec-17
PF05305	DUF732	Protein of unknown function (DUF732)
PF05309	TraE	TraE protein
PF05331	DUF742	Protein of unknown function (DUF742)
PF05336	rhaM	L-rhamnose mutarotase
PF05342	Peptidase_M26_N	M26 IgA1-specific Metallo-endopeptidase N-terminal region
PF05344	DUF746	Domain of Unknown Function (DUF746)
PF05351	GMP_PDE_delta	GMP-PDE, delta subunit
PF05362	Lon_C	Lon protease (S16) C-terminal proteolytic domain
PF05369	MtmB	Monomethylamine methyltransferase MtmB
PF05373	Pro_3_hydrox_C	L-proline 3-hydroxylase, C-terminal
PF05379	Peptidase_C23	Carlavirus endopeptidase
PF05381	Peptidase_C21	Tymovirus endopeptidase
PF05388	Carbpep_Y_N	Carboxypeptidase Y pro-peptide
PF05392	COX7B	Cytochrome C oxidase chain VIIB
PF05401	NodS	Nodulation protein S (NodS)
PF05402	PqqD	Coenzyme PQQ synthesis protein D (PqqD)
PF05407	Peptidase_C27	Rubella virus endopeptidase
PF05408	Peptidase_C28	Foot-and-mouth virus L-proteinase
PF05410	Peptidase_C31	Porcine arterivirus-type cysteine proteinase alpha
PF05411	Peptidase_C32	Equine arteritis virus putative proteinase
PF05416	Peptidase_C37	Southampton virus-type processing peptidase
PF05420	BCSC_C	Cellulose synthase operon protein C C-terminus (BCSC_C)
PF05421	DUF751	Protein of unknown function (DUF751)
PF05425	CopD	Copper resistance protein D
PF05426	Alginate_lyase	Alginate lyase
PF05430	Methyltransf_30	S-adenosyl-L-methionine-dependent methyltransferase
PF05440	MtrB	Tetrahydromethanopterin S-methyltransferase subunit B
PF05448	AXE1	Acetyl xylan esterase (AXE1)
PF05449	Phage_holin_3_7	Putative 3TM holin, Phage_holin_3
PF05497	Destabilase	Destabilase
PF05523	FdtA	WxcM-like, C-terminal
PF05534	HicB	HicB family
PF05537	DUF759	Borrelia burgdorferi protein of unknown function (DUF759)
PF05543	Peptidase_C47	Staphopain peptidase C47
PF05544	Pro_racemase	Proline racemase
PF05547	Peptidase_M6	Immune inhibitor A peptidase M6
PF05561	DUF764	Borrelia burgdorferi protein of unknown function (DUF764)
PF05575	V_cholerae_RfbT	Vibrio cholerae RfbT protein
PF05578	Peptidase_S31	Pestivirus NS3 polyprotein peptidase S31
PF05579	Peptidase_S32	Equine arteritis virus serine endopeptidase S32
PF05592	Bac_rhamnosid	Bacterial alpha-L-rhamnosidase concanavalin-like domain
PF05595	DUF771	Domain of unknown function (DUF771)
PF05597	Phasin	Poly(hydroxyalcanoate) granule associated protein (phasin)
PF05606	DUF777	Borrelia burgdorferi protein of unknown function (DUF777)
PF05616	Neisseria_TspB	Neisseria meningitidis TspB protein
PF05619	DUF787	Borrelia burgdorferi protein of unknown function (DUF787)
PF05621	TniB	Bacterial TniB protein
PF05628	Borrelia_P13	Borrelia membrane protein P13
PF05632	DUF792	Borrelia burgdorferi protein of unknown function (DUF792)
PF05637	Glyco_transf_34	galactosyl transferase GMA12/MNN10 family
PF05651	Diacid_rec	Putative sugar diacid recognition
PF05652	DcpS	Scavenger mRNA decapping enzyme (DcpS) N-terminal
PF05653	Mg_trans_NIPA	Magnesium transporter NIPA
PF05656	DUF805	Protein of unknown function (DUF805)
PF05676	NDUF_B7	NADH-ubiquinone oxidoreductase B18 subunit (NDUFB7)
PF05679	CHGN	Chondroitin N-acetylgalactosaminyltransferase
PF05681	Fumerase	Fumarate hydratase (Fumerase)
PF05683	Fumerase_C	Fumarase C-terminus
PF05685	Uma2	Putative restriction endonuclease
PF05686	Glyco_transf_90	Glycosyl transferase family 90
PF05690	ThiG	Thiazole biosynthesis protein ThiG
PF05691	Raffinose_syn	Raffinose synthase or seed imbibition protein Sip1
PF05693	Glycogen_syn	Glycogen synthase
PF05704	Caps_synth	Capsular polysaccharide synthesis protein
PF05706	CDKN3	Cyclin-dependent kinase inhibitor 3 (CDKN3)
PF05707	Zot	Zonular occludens toxin (Zot)
PF05711	TylF	Macrocin-O-methyltransferase (TylF)
PF05717	TnpB_IS66	IS66 Orf2 like protein
PF05721	PhyH	Phytanoyl-CoA dioxygenase (PhyH)
PF05724	TPMT	Thiopurine S-methyltransferase (TPMT)
PF05726	Pirin_C	Pirin C-terminal cupin domain
PF05738	Cna_B	Cna protein B-type domain
PF05761	5_nucleotid	5' nucleotidase family
PF05768	Glrx-like	Glutaredoxin-like domain (DUF836)
PF05770	Ins134_P3_kin	Inositol 1,3,4-trisphosphate 5/6-kinase ATP-grasp domain
PF05791	Bacillus_HBL	Bacillus haemolytic enterotoxin (HBL)
PF05821	NDUF_B8	NADH-ubiquinone oxidoreductase ASHI subunit (CI-ASHI or NDUFB8)
PF05822	UMPH-1	Pyrimidine 5'-nucleotidase (UMPH-1)
PF05826	Phospholip_A2_2	Phospholipase A2
PF05830	NodZ	Nodulation protein Z (NodZ)
PF05834	Lycopene_cycl	Lycopene cyclase protein
PF05838	Glyco_hydro_108	Glycosyl hydrolase 108
PF05853	BKACE	beta-keto acid cleavage enzyme
PF05857	TraX	TraX protein
PF05870	PA_decarbox	Phenolic acid decarboxylase (PAD)
PF05872	DUF853	Bacterial protein of unknown function (DUF853)
PF05875	Ceramidase	Ceramidase
PF05881	CNPase	2',3'-cyclic nucleotide 3'-phosphodiesterase (CNP or CNPase)
PF05889	SepSecS	O-phosphoseryl-tRNA(Sec) selenium transferase, SepSecS
PF05891	Methyltransf_PK	AdoMet dependent proline di-methyltransferase
PF05893	LuxC	Acyl-CoA reductase (LuxC)
PF05896	NQRA	Na(+)-translocating NADH-quinone reductase subunit A (NQRA)
PF05899	Cupin_3	EutQ-like cupin domain
PF05917	DUF874	Helicobacter pylori protein of unknown function (DUF874)
PF05925	IpgD	Enterobacterial virulence protein IpgD
PF05933	Fun_ATP-synt_8	Fungal ATP synthase protein 8 (A6L)
PF05935	Arylsulfotrans	Arylsulfotransferase (ASST)
PF05957	DUF883	DUF883 N-terminal domain
PF05958	tRNA_U5-meth_tr	tRNA (Uracil-5-)-methyltransferase
PF05960	DUF885	Bacterial protein of unknown function (DUF885)
PF05971	Methyltransf_10	RNA methyltransferase
PF05974	DUF892	Domain of unknown function (DUF892)
PF05985	EutC	Ethanolamine ammonia-lyase light chain (EutC)
PF05986	ADAM_spacer1	ADAM-TS Spacer 1
PF05988	DUF899	Bacterial protein of unknown function (DUF899)
PF05990	DUF900	Alpha/beta hydrolase of unknown function (DUF900)
PF05991	NYN_YacP	YacP-like NYN domain
PF05995	CDO_I	Cysteine dioxygenase type I
PF05996	Fe_bilin_red	Ferredoxin-dependent bilin reductase
PF06002	CST-I	Alpha-2,3-sialyltransferase (CST-I)
PF06004	DUF903	Bacterial protein of unknown function (DUF903)
PF06007	PhnJ	Phosphonate metabolism protein PhnJ
PF06013	WXG100	Proteins of 100 residues with WXG
PF06021	Gly_acyl_tr_N	Aralkyl acyl-CoA:amino acid N-acyltransferase
PF06026	Rib_5-P_isom_A	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
PF06028	DUF915	Alpha/beta hydrolase of unknown function (DUF915)
PF06039	Mqo	Malate:quinone oxidoreductase (Mqo)
PF06052	3-HAO	3-hydroxyanthranilic acid dioxygenase
PF06056	Terminase_5	Putative ATPase subunit of terminase (gpP-like)
PF06071	YchF-GTPase_C	Protein of unknown function (DUF933)
PF06079	Apyrase	Apyrase
PF06080	DUF938	Protein of unknown function (DUF938)
PF06085	Rz1	Lipoprotein Rz1 precursor
PF06087	Tyr-DNA_phospho	Tyrosyl-DNA phosphodiesterase
PF06089	Asparaginase_II	L-asparaginase II
PF06090	Ins_P5_2-kin	Inositol-pentakisphosphate 2-kinase
PF06094	GGACT	Gamma-glutamyl cyclotransferase, AIG2-like
PF06100	MCRA	MCRA family
PF06103	DUF948	Bacterial protein of unknown function (DUF948)
PF06106	SAUGI	S. aureus uracil DNA glycosylase inhibitor
PF06114	Peptidase_M78	IrrE N-terminal-like domain
PF06124	DUF960	Staphylococcal protein of unknown function (DUF960)
PF06130	PTAC	Phosphate propanoyltransferase
PF06134	RhaA	L-rhamnose isomerase (RhaA)
PF06146	PsiE	Phosphate-starvation-inducible E family
PF06147	DUF968	Protein of unknown function (DUF968)
PF06157	DUF973	Protein of unknown function (DUF973)
PF06163	DUF977	Bacterial protein of unknown function (DUF977)
PF06165	Glyco_transf_36	Glycosyltransferase family 36
PF06169	DUF982	Protein of unknown function (DUF982)
PF06172	Cupin_5	Cupin superfamily (DUF985)
PF06176	WaaY	Lipopolysaccharide core biosynthesis protein (WaaY)
PF06178	KdgM	Oligogalacturonate-specific porin protein (KdgM)
PF06180	CbiK	Cobalt chelatase (CbiK)
PF06189	5-nucleotidase	5'-nucleotidase
PF06191	DUF995	Protein of unknown function (DUF995)
PF06202	GDE_C	Amylo-alpha-1,6-glucosidase
PF06207	DUF1002	Protein of unknown function (DUF1002)
PF06224	HTH_42	Winged helix DNA-binding domain
PF06228	ChuX_HutX	Haem utilisation ChuX/HutX
PF06236	MelC1	Tyrosinase co-factor MelC1
PF06240	COXG	Carbon monoxide dehydrogenase subunit G (CoxG)
PF06242	DUF1013	Protein of unknown function (DUF1013)
PF06249	EutQ	Ethanolamine utilisation protein EutQ
PF06250	YhcG_C	YhcG PDDEXK nuclease domain
PF06251	Caps_synth_GfcC	Capsule biosynthesis GfcC
PF06253	MTTB	Trimethylamine methyltransferase (MTTB)
PF06254	YdaT_toxin	Putative bacterial toxin ydaT
PF06259	Abhydrolase_8	Alpha/beta hydrolase
PF06280	fn3_5	Fn3-like domain
PF06291	Lambda_Bor	Bor protein
PF06293	Kdo	Lipopolysaccharide kinase (Kdo/WaaP) family
PF06298	PsbY	Photosystem II protein Y (PsbY)
PF06305	LapA_dom	Lipopolysaccharide assembly protein A domain
PF06306	CgtA	Beta-1,4-N-acetylgalactosaminyltransferase (CgtA)
PF06314	ADC	Acetoacetate decarboxylase (ADC)
PF06315	AceK	Isocitrate dehydrogenase kinase/phosphatase (AceK)
PF06327	DUF1053	Domain of Unknown Function (DUF1053)
PF06330	TRI5	Trichodiene synthase (TRI5)
PF06339	Ectoine_synth	Ectoine synthase
PF06350	HSL_N	Hormone-sensitive lipase (HSL) N-terminus
PF06351	Allene_ox_cyc	Allene oxide cyclase
PF06368	Met_asp_mut_E	Methylaspartate mutase E chain (MutE)
PF06374	NDUF_C2	NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2)
PF06381	DUF1073	Protein of unknown function (DUF1073)
PF06406	StbA	StbA protein
PF06414	Zeta_toxin	Zeta toxin
PF06415	iPGM_N	BPG-independent PGAM N-terminus (iPGM_N)
PF06418	CTP_synth_N	CTP synthase N-terminus
PF06423	GWT1	GWT1
PF06426	SATase_N	Serine acetyltransferase, N-terminal
PF06427	UDP-g_GGTase	UDP-glucose:Glycoprotein Glucosyltransferase
PF06432	GPI2	Phosphatidylinositol N-acetylglucosaminyltransferase
PF06433	Me-amine-dh_H	Methylamine dehydrogenase heavy chain (MADH)
PF06434	Aconitase_2_N	Aconitate hydratase 2 N-terminus
PF06437	ISN1	IMP-specific 5'-nucleotidase
PF06439	DUF1080	Domain of Unknown Function (DUF1080)
PF06441	EHN	Epoxide hydrolase N terminus
PF06442	DHFR_2	R67 dihydrofolate reductase
PF06444	NADH_dehy_S2_C	NADH dehydrogenase subunit 2 C-terminus
PF06449	DUF1082	Mitochondrial domain of unknown function (DUF1082)
PF06452	CBM9_1	Carbohydrate family 9 binding domain-like
PF06455	NADH5_C	NADH dehydrogenase subunit 5 C-terminus
PF06458	MucBP	MucBP domain
PF06463	Mob_synth_C	Molybdenum Cofactor Synthesis C
PF06466	PCAF_N	PCAF (P300/CBP-associated factor) N-terminal domain
PF06470	SMC_hinge	SMC proteins Flexible Hinge Domain
PF06471	CoV_ExoN	Coronavirus proofreading exoribonuclease
PF06480	FtsH_ext	FtsH Extracellular
PF06481	COX_ARM	COX Aromatic Rich Motif
PF06491	Disulph_isomer	Disulphide isomerase
PF06496	DUF1097	Protein of unknown function (DUF1097)
PF06500	FrsA-like	Esterase FrsA-like
PF06519	TolA	TolA C-terminal
PF06526	DUF1107	Protein of unknown function (DUF1107)
PF06551	DUF1120	Protein of unknown function (DUF1120)
PF06559	DCD	2'-deoxycytidine 5'-triphosphate deaminase (DCD)
PF06560	GPI	Glucose-6-phosphate isomerase (GPI)
PF06568	DUF1127	Domain of unknown function (DUF1127)
PF06570	DUF1129	Protein of unknown function (DUF1129)
PF06574	FAD_syn	FAD synthetase
PF06575	DUF1132	Protein of unknown function (DUF1132)
PF06576	DUF1133	Protein of unknown function (DUF1133)
PF06580	His_kinase	Histidine kinase
PF06597	Clostridium_P47	Clostridium P-47 protein
PF06603	UpxZ	UpxZ family of transcription anti-terminator antagonists
PF06617	M-inducer_phosp	M-phase inducer phosphatase
PF06628	Catalase-rel	Catalase-related immune-responsive
PF06631	DUF1154	Protein of unknown function (DUF1154)
PF06645	SPC12	Microsomal signal peptidase 12 kDa subunit (SPC12)
PF06662	C5-epim_C	D-glucuronyl C5-epimerase C-terminus
PF06695	Sm_multidrug_ex	Putative small multi-drug export protein
PF06698	DUF1192	Protein of unknown function (DUF1192)
PF06703	SPC25	Microsomal signal peptidase 25 kDa subunit (SPC25)
PF06722	DUF1205	Protein of unknown function (DUF1205)
PF06723	MreB_Mbl	MreB/Mbl protein
PF06724	DUF1206	Domain of Unknown Function (DUF1206)
PF06725	3D	3D domain
PF06737	Transglycosylas	Transglycosylase-like domain
PF06738	ThrE	Putative threonine/serine exporter
PF06742	DUF1214	Protein of unknown function (DUF1214)
PF06751	EutB	Ethanolamine ammonia lyase large subunit (EutB)
PF06772	LtrA	Bacterial low temperature requirement A protein (LtrA)
PF06778	Chlor_dismutase	Chlorite dismutase
PF06779	MFS_4	Uncharacterised MFS-type transporter YbfB
PF06780	Erp_C	Erp protein C-terminus
PF06821	Ser_hydrolase	Serine hydrolase
PF06831	H2TH	Formamidopyrimidine-DNA glycosylase H2TH domain
PF06833	MdcE	Malonate decarboxylase gamma subunit (MdcE)
PF06848	Disaggr_repeat	Disaggregatase related repeat
PF06849	DUF1246	Protein of unknown function (DUF1246)
PF06859	Bin3	Bicoid-interacting protein 3 (Bin3)
PF06863	DUF1254	Protein of unknown function (DUF1254)
PF06865	Ppnp	Pyrimidine/purine nucleoside phosphorylase
PF06872	EspG	EspG protein
PF06874	FBPase_2	Firmicute fructose-1,6-bisphosphatase
PF06888	Put_Phosphatase	Putative Phosphatase
PF06902	Fer4_19	Divergent 4Fe-4S mono-cluster
